tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2009:361:23:30:10.251	2009:361:23:34:40.251		-99616	6	6	0	0	96.60	47.92
2009:361:23:34:40.251	2009:361:23:39:10.251		-99616	6	6	0	0	96.60	47.94
2009:361:23:39:10.251	2009:361:23:43:40.251		-99616	6	6	0	0	96.60	48.03
2009:361:23:43:40.251	2009:361:23:48:10.251		-99616	6	6	0	0	96.60	48.20
2009:361:23:48:10.251	2009:361:23:52:40.251		-99616	6	6	0	0	96.60	48.39
2009:361:23:52:40.251	2009:361:23:57:10.251		-99616	6	6	0	0	96.60	48.59
2009:361:23:57:10.251	2009:362:00:01:40.251		-99616	6	6	0	0	96.60	48.75
2009:362:00:01:40.251	2009:362:00:05:03.328		-99616	6	6	0	0	96.60	48.82
2009:362:00:05:03.328	2009:362:02:00:03.328		-99616	6	6	0	0	96.60	48.83
2009:362:02:00:03.328	2009:362:03:55:03.328		-99616	6	6	0	0	96.60	48.80
2009:362:03:55:03.328	2009:362:05:50:03.328		-99616	6	6	0	0	96.60	48.77
2009:362:05:50:03.328	2009:362:07:36:44.813		-99616	6	6	0	0	96.60	48.75
2009:362:07:36:44.813	2009:362:07:36:55.064	56558	-99616	6	6	0	0	96.60	48.75
2009:362:07:36:55.064	2009:362:07:41:35.064	56558	-99616	6	6	0	0	96.60	48.72
2009:362:07:41:35.064	2009:362:07:46:15.064	56558	-99616	6	6	0	0	96.60	48.68
2009:362:07:46:15.064	2009:362:07:50:55.064	56558	-99616	6	6	0	0	96.60	48.53
2009:362:07:50:55.064	2009:362:07:55:35.064	56558	-99616	6	6	0	0	96.60	48.31
2009:362:07:55:35.064	2009:362:08:00:15.064	56558	-99616	6	6	0	0	96.60	48.12
2009:362:08:00:15.064	2009:362:08:04:37.892	56558	-99616	6	6	0	0	96.60	48.03
2009:362:08:04:37.892	2009:362:08:08:56.637	56558	-99616	6	6	0	0	96.60	48.01
2009:362:08:08:56.637	2009:362:08:09:00.637	56558	-99616	6	6	0	0	96.60	48.01
2009:362:08:09:00.637	2009:362:08:09:04.637	56558	-99616	6	6	0	0	96.60	48.01
2009:362:08:09:04.637	2009:362:08:09:28.637	56558	-99616	0	0	1	0	40.00	48.01
2009:362:08:09:28.637	2009:362:08:10:35.637	56558	-99616	6	6	1	0	118.00	48.01
2009:362:08:10:35.637	2009:362:10:26:09.448	56558	-99616	6	6	1	1	129.00	48.01
2009:362:10:26:09.448	2009:362:10:30:59.448	56558	-99616	6	6	1	1	129.00	47.91
2009:362:10:30:59.448	2009:362:10:35:49.448	56558	-99616	6	6	1	1	129.00	52.14
2009:362:10:35:49.448	2009:362:10:40:39.448	56558	-99616	6	6	1	1	129.00	66.78
2009:362:10:40:39.448	2009:362:10:45:29.448	56558	-99616	6	6	1	1	129.00	88.31
2009:362:10:45:29.448	2009:362:10:50:19.448	56558	-99616	6	6	1	1	129.00	110.03
2009:362:10:50:19.448	2009:362:10:52:36.637	56558	-99616	6	6	1	1	129.00	131.75
2009:362:10:52:36.637	2009:362:10:55:09.448	56558	-99616	6	6	1	0	118.00	131.75
2009:362:10:55:09.448	2009:362:10:55:36.637	56558	-99616	6	6	1	0	118.00	152.79
2009:362:10:55:36.637	2009:362:10:58:36.637	12066	73176	6	6	1	0	118.00	152.79
2009:362:10:58:36.637	2009:362:10:58:40.637	12066	73176	6	6	1	0	118.00	152.79
2009:362:10:58:40.637	2009:362:10:58:44.637	12066	73176	6	6	1	0	118.00	152.79
2009:362:10:58:44.637	2009:362:10:59:08.637	12066	73176	0	0	1	0	40.00	152.79
2009:362:10:59:08.637	2009:362:10:59:59.448	12066	73176	6	6	1	0	118.00	152.79
2009:362:10:59:59.448	2009:362:11:00:19.637	12066	73176	6	6	1	0	118.00	165.50
2009:362:11:00:19.637	2009:362:11:03:56.126	12066	73176	6	6	1	1	129.00	165.50
2009:362:11:03:56.126	2009:362:12:23:56.126	12066	73176	6	6	1	1	129.00	168.18
2009:362:12:23:56.126	2009:362:13:34:55.872	12066	73176	6	6	1	1	129.00	168.12
2009:362:13:34:55.872	2009:362:13:35:06.123	12066	75624	6	6	1	0	118.00	168.12
2009:362:13:35:06.123	2009:362:13:37:55.872	12066	75624	6	6	1	0	118.00	168.07
2009:362:13:37:55.872	2009:362:13:39:56.123	11358	75624	6	6	1	0	118.00	168.07
2009:362:13:39:56.123	2009:362:13:42:46.472	11358	75624	6	6	1	0	118.00	164.56
2009:362:13:42:46.472	2009:362:13:42:50.472	11358	75624	6	6	1	0	118.00	164.56
2009:362:13:42:50.472	2009:362:13:42:54.472	11358	75624	6	6	1	0	118.00	164.56
2009:362:13:42:54.472	2009:362:13:43:18.472	11358	75624	0	0	1	0	40.00	164.56
2009:362:13:43:18.472	2009:362:13:44:25.472	11358	75624	6	6	1	0	118.00	164.56
2009:362:13:44:25.472	2009:362:13:44:46.123	11358	75624	6	6	1	1	129.00	164.56
2009:362:13:44:46.123	2009:362:13:49:36.123	11358	75624	6	6	1	1	129.00	152.13
2009:362:13:49:36.123	2009:362:13:54:26.123	11358	75624	6	6	1	1	129.00	134.21
2009:362:13:54:26.123	2009:362:13:58:44.953	11358	75624	6	6	1	1	129.00	122.92
2009:362:13:58:44.953	2009:362:14:54:17.472	11358	75624	6	6	1	1	129.00	120.21
2009:362:14:54:17.472	2009:362:14:54:27.723	11358	92904	6	6	1	0	118.00	120.21
